RecommendationID,Active,DisplayOrder,Name,AssessmentTitle,AssessmentSummary,ProductTitle,ProductSummary,ShopifyProductHandle,EducationPage,ApplicationInstructions,EmailTemplateID,PDFTemplateID,FollowUpDays
REC-EST,TRUE,10,Estradiol,Low Estrogen,Your responses suggest that low estrogen may be contributing to your symptoms.,Nature's Balance Bioidentical Estradiol Cream,Supports healthy estrogen balance during menopause.,bioidentical-estradiol-cream,/pages/ynlymylyh#understanding-estrogen-dominance,APP-EST,EMAIL-EST,PDF-EST,30
REC-PROG,TRUE,20,Progesterone,Low Progesterone,Your responses suggest that low progesterone may be contributing to your symptoms.,Nature's Balance Bioidentical Progesterone Cream,Supports healthy progesterone balance and hormonal wellness.,bioidentical-progesterone-cream,/pages/htcyhrt#1-progesterone-is-boss,APP-PROG,EMAIL-PROG,PDF-PROG,30
REC-MEL,TRUE,30,Melatonin,Sleep Support Recommended,Your responses suggest that sleep-related symptoms may be contributing to your overall hormone balance picture.,Nature's Balance All-Natural Melatonin Cream,Supports restful sleep and nighttime recovery.,all-natural-melatonin-cream,/pages/sleep-and-hormone-balance,APP-MEL,EMAIL-MEL,PDF-MEL,30
REC-CORT,TRUE,40,Cortisol Support,Cortisol Imbalance,Your responses suggest that cortisol imbalance may be contributing to your symptoms.,Nature's Balance Cortisol Support,Supports healthy cortisol rhythm and stress response.,cortisol-support,/pages/understanding-cortisol,APP-CORT,EMAIL-CORT,PDF-CORT,30
